snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,71°F or below,lte,71,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,2704.138428,29316.45866,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,72-73°F,eq,72,0.0,0.0005,0.9995,-0.0005,,0.001,0.003,96.98338999999999,26693.18621,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,74-75°F,eq,74,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,7333.640282,10649.34573,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,76-77°F,eq,76,0.0,0.0005,0.9995,-0.0005,,0.001,0.004,2635.7083350000003,9225.82564,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,78-79°F,eq,78,0.0,0.0005,0.9995,-0.0005,,0.001,0.014,1376.5704749999998,9391.61656,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,80-81°F,eq,80,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,3937.1609090000034,8174.44642,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,82-83°F,eq,82,0.0,0.0005,0.9995,-0.0005,,0.001,0.001,6142.000638,8352.78098,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,84-85°F,eq,84,0.974693515260819,0.9985,0.0015,-0.02380648473918101,0.998,0.999,0.999,9024.02336,1506.12792,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,86-87°F,eq,86,0.02355245969827219,0.001,0.999,0.02255245969827219,,0.002,0.001,5349.997520999999,1440.11353,active,84.0,77.0,86.0,,76.0,74.9,
20260606T200453-0400,2026-06-07T00:04:53.109292+00:00,2026-06-06T20:04:53.109292-04:00,highest-temperature-in-chicago-on-june-6-2026,2026-06-07T00:03:43.34581Z,v0.5.0 HGBC feature-based ML model,84,0.5645752337836888,88-89°F,eq,88,0.0016360242313139333,0.0015,0.9985,0.00013602423131393328,,0.003,0.01,5218.039151,1671.08336,active,84.0,77.0,86.0,,76.0,74.9,
