snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,57°F or below,lte,57,0.0,0.0005,0.9995,-0.0005,,0.001,0.007,985.9565160000001,11611.36944,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,58-59°F,eq,58,0.0,0.0005,0.9995,-0.0005,,0.001,0.007,1094.8163,11645.02769,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,60-61°F,eq,60,0.011217332493057843,0.0015,0.9985,0.009717332493057843,0.001,0.002,0.049,1026.134663,1049.81235,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,62-63°F,eq,62,0.03879490151487958,0.0135,0.9865,0.025294901514879585,0.01,0.017,0.012,1092.022697,593.46986,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,64-65°F,eq,64,0.3102109139062319,0.18,0.82,0.1302109139062319,0.17,0.19,0.18,1510.4303120000002,512.4685,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,66-67°F,eq,66,0.6340040269111595,0.445,0.555,0.18900402691115953,0.44,0.45,0.45,1097.387139,683.8976,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,68-69°F,eq,68,0.005616132765692744,0.34,0.66,-0.3343838672343073,0.31,0.37,0.28,1049.1881039999998,348.5336,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,70-71°F,eq,70,0.0001474278712091075,0.0395,0.9605,-0.03935257212879089,0.03,0.049,0.03,766.4259239999999,907.97018,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,72-73°F,eq,72,8.865961002795398e-06,0.0025,0.9975,-0.0024911340389972047,0.002,0.003,0.009,1777.9614009999998,1490.35245,active,60.0,59.0,64.0,,65.0,64.1,
20260609T083453-0400,2026-06-09T12:34:53.768110+00:00,2026-06-09T08:34:53.768110-04:00,highest-temperature-in-san-francisco-on-june-9-2026,2026-06-09T12:24:32.963068Z,v0.5.0 HGBC feature-based ML model,66,0.5927214070025488,74-75°F,eq,74,3.800458587579248e-07,0.0015,0.9985,-0.0014996199541412421,0.001,0.002,0.007,985.407599,1951.90305,active,60.0,59.0,64.0,,65.0,64.1,
