snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260610T000155-0400,2026-06-10T04:01:55.618769+00:00,2026-06-10T00:01:54.941596-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,23.0,23.0,6.0,0.0,0.0,18.0,75.0,,0.0,13.0,27.9,4.899999999999999,E-SE/onshore-ish,Precip
20260610T001206-0400,2026-06-10T04:12:06.765510+00:00,2026-06-10T00:12:06.630336-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,22.0,5.0,0.0,7.0,18.0,79.0,990.6,0.0,,27.1,5.100000000000001,E-SE/onshore-ish,Precip
20260610T002217-0400,2026-06-10T04:22:17.051113+00:00,2026-06-10T00:22:16.927977-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,22.0,5.0,0.0,7.0,18.0,79.0,990.6,0.0,,27.1,5.100000000000001,E-SE/onshore-ish,Precip
20260610T003227-0400,2026-06-10T04:32:27.428785+00:00,2026-06-10T00:32:27.306217-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,22.0,5.0,0.0,7.0,18.0,81.0,990.6,0.0,,27.1,5.100000000000001,E-SE/onshore-ish,Precip
20260610T004243-0400,2026-06-10T04:42:43.741137+00:00,2026-06-10T00:42:43.567789-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,22.0,5.0,0.0,7.0,18.0,81.0,990.6,0.0,,27.1,5.100000000000001,E-SE/onshore-ish,Precip
20260610T005254-0400,2026-06-10T04:52:54.307250+00:00,2026-06-10T00:52:54.165261-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,21.0,4.0,0.0,7.0,18.0,83.0,990.6,0.0,,27.1,5.100000000000001,SSE,Precip
20260610T010304-0400,2026-06-10T05:03:04.781736+00:00,2026-06-10T01:03:04.642517-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,21.0,4.0,0.0,7.0,18.0,84.0,990.6,0.0,,25.9,3.8999999999999986,E-SE/onshore-ish,Mostly cloudy/overcast
20260610T011317-0400,2026-06-10T05:13:17.737263+00:00,2026-06-10T01:13:17.567946-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,21.0,4.0,0.0,7.0,18.0,84.0,989.93,0.0,,25.9,3.8999999999999986,SSE,Precip
20260610T012332-0400,2026-06-10T05:23:32.203022+00:00,2026-06-10T01:23:32.070882-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,88.0,989.93,0.0,,25.9,3.8999999999999986,SSE,Mostly cloudy/overcast
20260610T013346-0400,2026-06-10T05:33:46.311357+00:00,2026-06-10T01:33:46.141484-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,88.0,989.93,0.0,,25.9,3.8999999999999986,SSE,Mostly cloudy/overcast
20260610T014356-0400,2026-06-10T05:43:56.640700+00:00,2026-06-10T01:43:56.482702-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,89.0,989.93,0.0,,29.0,7.0,E-SE/onshore-ish,Precip
20260610T015406-0400,2026-06-10T05:54:06.965384+00:00,2026-06-10T01:54:06.793387-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,89.0,989.93,0.0,,29.0,7.0,E-SE/onshore-ish,Precip
20260610T020425-0400,2026-06-10T06:04:25.735419+00:00,2026-06-10T02:04:25.610663-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,90.0,989.93,0.0,,29.0,7.0,SSE,Precip
20260610T021444-0400,2026-06-10T06:14:44.396528+00:00,2026-06-10T02:14:44.227813-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,88.0,989.93,0.0,,29.0,7.0,E-SE/onshore-ish,Precip
20260610T022455-0400,2026-06-10T06:24:55.389841+00:00,2026-06-10T02:24:55.230122-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,22.0,20.0,3.0,0.0,7.0,18.0,88.0,989.93,0.0,,29.0,7.0,SSE,Precip
20260610T093732-0400,2026-06-10T13:37:32.942136+00:00,2026-06-10T09:37:29.507290-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
20260610T094746-0400,2026-06-10T13:47:46.787886+00:00,2026-06-10T09:47:46.630031-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
20260610T095802-0400,2026-06-10T13:58:02.317198+00:00,2026-06-10T09:58:02.154656-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
20260610T100813-0400,2026-06-10T14:08:13.809580+00:00,2026-06-10T10:08:13.657580-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
20260610T101835-0400,2026-06-10T14:18:35.715741+00:00,2026-06-10T10:18:35.584481-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
20260610T102850-0400,2026-06-10T14:28:50.108617+00:00,2026-06-10T10:28:49.921090-04:00,highest-temperature-in-toronto-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,22.0,22.0,2.0,2.0,9.0,21.0,94.0,987.94,0.0,6.0,30.0,8.0,SSE,Mostly cloudy/overcast
