snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260610T010310-0400,2026-06-10T05:03:10.525131+00:00,2026-06-10T00:03:10.196593-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,17.0,17.0,0.0,0.0,0.0,10.0,60.0,,0.0,15.0,93.9,76.9,E-SE/onshore-ish,Partly cloudy
20260610T011321-0400,2026-06-10T05:13:21.272287+00:00,2026-06-10T00:13:21.109878-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,73.0,73.0,56.0,0.0,0.0,69.0,88.0,,0.0,6.0,93.9,20.900000000000006,E-SE/onshore-ish,Partly cloudy
20260610T012339-0400,2026-06-10T05:23:39.334630+00:00,2026-06-10T00:23:39.165144-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,72.0,72.0,55.0,0.0,0.0,69.0,89.0,,0.0,5.0,93.9,21.900000000000006,E-SE/onshore-ish,Partly cloudy
20260610T013349-0400,2026-06-10T05:33:49.767965+00:00,2026-06-10T00:33:49.635954-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,72.0,72.0,55.0,0.0,0.0,69.0,89.0,,0.0,5.0,93.9,21.900000000000006,E-SE/onshore-ish,Partly cloudy
20260610T014400-0400,2026-06-10T05:44:00.093624+00:00,2026-06-10T00:43:59.951096-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,71.0,71.0,54.0,0.0,0.0,69.0,91.0,,0.0,5.0,92.8,21.799999999999997,E-SE/onshore-ish,Partly cloudy
20260610T015410-0400,2026-06-10T05:54:10.439746+00:00,2026-06-10T00:54:10.245610-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,71.0,71.0,54.0,0.0,0.0,69.0,94.0,,0.0,4.0,92.8,21.799999999999997,E-SE/onshore-ish,Mostly cloudy/overcast
20260610T020429-0400,2026-06-10T06:04:29.126786+00:00,2026-06-10T01:04:28.973353-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,70.0,70.0,53.0,0.0,7.0,67.0,92.0,29.14,0.0,,92.8,22.799999999999997,E-SE/onshore-ish,Fair/clear
20260610T021447-0400,2026-06-10T06:14:47.809735+00:00,2026-06-10T01:14:47.680731-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,69.0,69.0,52.0,0.0,6.15,67.0,92.0,29.14,0.0,,92.8,23.799999999999997,E-SE/onshore-ish,Fair/clear
20260610T022459-0400,2026-06-10T06:24:59.193790+00:00,2026-06-10T01:24:59.058792-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.1 HGBC feature-based ML model,toronto_feature_store_v0.2,7,69.0,69.0,52.0,0.0,6.15,67.0,93.0,29.14,0.0,,92.8,23.799999999999997,E-SE/onshore-ish,Partly cloudy
20260610T093736-0400,2026-06-10T13:37:36.997197+00:00,2026-06-10T08:37:36.620511-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,77.0,0.0,8.0,0.15,71.0,82.0,29.08,-0.010000000000001563,8.0,91.55,14.549999999999997,S-SW,Partly cloudy
20260610T094750-0400,2026-06-10T13:47:50.491322+00:00,2026-06-10T08:47:50.309020-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,77.0,0.0,8.0,0.15,71.0,82.0,29.08,-0.010000000000001563,8.0,91.55,14.549999999999997,S-SW,Partly cloudy
20260610T095806-0400,2026-06-10T13:58:06.182059+00:00,2026-06-10T08:58:06.038735-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,77.0,0.0,8.0,0.15,71.0,82.0,29.08,-0.010000000000001563,8.0,91.55,14.549999999999997,S-SW,Partly cloudy
20260610T100817-0400,2026-06-10T14:08:17.221206+00:00,2026-06-10T09:08:17.054476-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,7,77.0,77.0,0.0,8.0,0.15,71.0,82.0,29.08,-0.010000000000001563,8.0,91.45,14.450000000000003,S-SW,Partly cloudy
20260610T101839-0400,2026-06-10T14:18:39.031107+00:00,2026-06-10T09:18:38.875108-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,80.0,80.0,3.0,8.0,0.15,72.0,76.0,29.06,-0.030000000000001137,9.0,91.45,11.450000000000003,S-SW,Fair/clear
20260610T102853-0400,2026-06-10T14:28:53.816769+00:00,2026-06-10T09:28:53.605590-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,80.0,80.0,3.0,8.0,0.15,72.0,76.0,29.06,-0.030000000000001137,9.0,91.45,11.450000000000003,S-SW,Fair/clear
20260610T103904-0400,2026-06-10T14:39:04.899954+00:00,2026-06-10T09:39:04.718812-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,80.0,80.0,3.0,8.0,0.15,72.0,76.0,29.06,-0.030000000000001137,9.0,91.45,11.450000000000003,S-SW,Fair/clear
20260610T104924-0400,2026-06-10T14:49:24.521047+00:00,2026-06-10T09:49:24.361825-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,80.0,80.0,3.0,8.0,0.15,72.0,76.0,29.06,-0.030000000000001137,9.0,91.4,11.400000000000006,S-SW,Fair/clear
20260610T105935-0400,2026-06-10T14:59:35.482318+00:00,2026-06-10T09:59:35.323506-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,8,80.0,80.0,3.0,8.0,0.15,72.0,76.0,29.06,-0.030000000000001137,9.0,91.4,11.400000000000006,S-SW,Fair/clear
20260610T110948-0400,2026-06-10T15:09:48.771302+00:00,2026-06-10T10:09:48.599694-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.5 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.9,8.900000000000006,S-SW,Mostly cloudy/overcast
20260610T112303-0400,2026-06-10T15:23:03.307233+00:00,2026-06-10T10:23:03.098211-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T113314-0400,2026-06-10T15:33:14.760440+00:00,2026-06-10T10:33:14.588206-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T114327-0400,2026-06-10T15:43:27.362601+00:00,2026-06-10T10:43:27.134739-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T115341-0400,2026-06-10T15:53:41.471542+00:00,2026-06-10T10:53:41.196805-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T120400-0400,2026-06-10T16:04:00.323885+00:00,2026-06-10T11:04:00.119006-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T121413-0400,2026-06-10T16:14:13.221774+00:00,2026-06-10T11:14:12.891270-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
20260610T122429-0400,2026-06-10T16:24:29.738133+00:00,2026-06-10T11:24:29.322781-05:00,highest-temperature-in-chicago-on-june-10-2026,2026-06-10,v0.5.6 HGBC feature-based ML model,toronto_feature_store_v0.2,9,83.0,83.0,6.0,6.0,0.15,72.0,69.0,29.05,-0.03999999999999915,12.0,91.4,8.400000000000006,S-SW,Mostly cloudy/overcast
