snapshot_id,captured_at_utc,captured_at_local,event_slug,event_updated_at,model_version,top_temp_c,top_probability,range_label,bin_kind,bin_value_c,model_probability,market_yes,market_no,edge,best_bid,best_ask,last_trade_price,volume,liquidity,market_status,wu_history_high_c,wu_current_c,wu_max_since_7am_c,eccc_swob_max_c,weather_forecast_max_c,open_meteo_max_c,eccc_forecast_high_c
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,16 C or below,lte,16,0.0025429462730865676,0.001,0.999,0.0015429462730865676,,0.002,0.001,285.98699999999997,7176.53952,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,17 C,eq,17,0.0018460329424737365,0.001,0.999,0.0008460329424737365,,0.002,0.001,271.187732,6853.75484,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,18 C,eq,18,0.002259007720202086,0.001,0.999,0.0012590077202020858,,0.002,0.004,485.31833199999994,6326.13814,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,19 C,eq,19,0.002758253806714486,0.002,0.998,0.000758253806714486,0.001,0.003,0.003,742.6267239999999,3346.10391,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,20 C,eq,20,0.004325499277620225,0.0015,0.9985,0.0028254992776202254,0.001,0.002,0.01,1076.461009,2329.64524,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,21 C,eq,21,0.014762045160115882,0.004,0.996,0.010762045160115882,0.002,0.006,0.006,2560.249459,1471.87036,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,22 C,eq,22,0.13886783004184972,0.083,0.917,0.05586783004184971,0.077,0.089,0.07,1113.0978539999999,1227.74903,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,23 C,eq,23,0.6397639450613499,0.26,0.74,0.3797639450613499,0.25,0.27,0.27,1703.790149,543.0938,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,24 C,eq,24,0.15841099911420758,0.43,0.57,-0.2715890008857924,0.42,0.44,0.46,1241.7451419999995,577.7338,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,25 C,eq,25,0.031164678572892963,0.205,0.795,-0.17383532142710703,0.19,0.22,0.24,1568.9939980000001,696.1896,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T084115-0400,2026-05-31T12:41:15.548812+00:00,2026-05-31T08:41:15.548812-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:35:29.729701Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,26 C or higher,gte,26,0.003298762029486762,0.045,0.955,-0.041701237970513234,0.04,0.05,0.089,1687.5309630000004,795.16652,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,16 C or below,lte,16,0.0025429462730865676,0.001,0.999,0.0015429462730865676,,0.002,0.001,285.98699999999997,7175.93952,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,17 C,eq,17,0.0018460329424737365,0.001,0.999,0.0008460329424737365,,0.002,0.001,271.187732,6853.15484,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,18 C,eq,18,0.002259007720202086,0.001,0.999,0.0012590077202020858,,0.002,0.004,485.31833199999994,6327.45714,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,19 C,eq,19,0.002758253806714486,0.002,0.998,0.000758253806714486,0.001,0.003,0.003,742.6267239999999,3361.82391,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,20 C,eq,20,0.004325499277620225,0.0015,0.9985,0.0028254992776202254,0.001,0.002,0.01,1076.461009,2395.16142,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,21 C,eq,21,0.014762045160115882,0.004,0.996,0.010762045160115882,0.002,0.006,0.006,2560.249459,1482.29636,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,22 C,eq,22,0.13886783004184972,0.074,0.926,0.06486783004184972,0.061,0.087,0.07,1113.0978539999999,1200.46334,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,23 C,eq,23,0.6397639450613499,0.265,0.735,0.3747639450613499,0.25,0.28,0.27,1703.790149,544.2578,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,24 C,eq,24,0.15841099911420758,0.43,0.57,-0.2715890008857924,0.42,0.44,0.46,1241.7451419999995,489.8144,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,25 C,eq,25,0.031164678572892963,0.205,0.795,-0.17383532142710703,0.19,0.22,0.24,1568.9939980000001,666.9946,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T085116-0400,2026-05-31T12:51:16.506477+00:00,2026-05-31T08:51:16.506477-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T12:48:36.693464Z,v0.4.9 HGBC feature-based ML model,23,0.6397639450613499,26 C or higher,gte,26,0.003298762029486762,0.045,0.955,-0.041701237970513234,0.04,0.05,0.089,1687.5309630000004,797.5246,active,16.0,18.0,18.0,15.5,24.0,22.8,24.0
20260531T091258-0400,2026-05-31T13:12:58.178171+00:00,2026-05-31T09:12:58.178171-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T13:09:05.683174Z,v0.4.9 HGBC feature-based ML model,23,0.6422479319198586,16 C or below,lte,16,3.292915234733936e-05,0.001,0.999,-0.0009670708476526606,,0.002,0.001,285.98699999999997,5487.33352,active,16.0,18.0,18.0,17.8,24.0,23.6,24.0
20260531T091258-0400,2026-05-31T13:12:58.178171+00:00,2026-05-31T09:12:58.178171-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T13:09:05.683174Z,v0.4.9 HGBC feature-based ML model,23,0.6422479319198586,17 C,eq,17,0.00039087833960506997,0.001,0.999,-0.00060912166039493,,0.002,0.001,271.187732,5234.36784,active,16.0,18.0,18.0,17.8,24.0,23.6,24.0
20260531T091258-0400,2026-05-31T13:12:58.178171+00:00,2026-05-31T09:12:58.178171-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T13:09:05.683174Z,v0.4.9 HGBC feature-based ML model,23,0.6422479319198586,18 C,eq,18,0.0017884115111458717,0.001,0.999,0.0007884115111458717,,0.002,0.004,485.31833199999994,4644.64914,active,16.0,18.0,18.0,17.8,24.0,23.6,24.0
20260531T091258-0400,2026-05-31T13:12:58.178171+00:00,2026-05-31T09:12:58.178171-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T13:09:05.683174Z,v0.4.9 HGBC feature-based ML model,23,0.6422479319198586,19 C,eq,19,0.002023299713428732,0.002,0.998,2.3299713428731952e-05,0.001,0.003,0.003,742.6267239999999,1613.52291,active,16.0,18.0,18.0,17.8,24.0,23.6,24.0
20260531T091258-0400,2026-05-31T13:12:58.178171+00:00,2026-05-31T09:12:58.178171-04:00,highest-temperature-in-toronto-on-may-31-2026,2026-05-31T13:09:05.683174Z,v0.4.9 HGBC feature-based ML model,23,0.6422479319198586,20 C,eq,20,0.0032727288546899372,0.0015,0.9985,0.0017727288546899372,0.001,0.002,0.01,1076.461009,1387.13842,active,16.0,18.0,18.0,17.8,24.0,23.6,24.0
