snapshot_id,captured_at_utc,captured_at_local,event_slug,target_date,model_version,feature_schema_version,cutoff_hour,high_so_far,current_temp,rise_from_7am,warming_rate_2h,hours_at_peak,dewpoint_c,humidity,pressure,pressure_trend_3h,wind_speed_kmh,forecast_high,forecast_gap,wind_group,cloud_group
20260609T083455-0400,2026-06-09T12:34:55.146975+00:00,2026-06-09T05:34:54.527447-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,54.0,37.0,0.0,6.116666666666666,53.0,97.0,29.22,0.029999999999997584,,57.8,2.799999999999997,S-SW,Precip
20260609T084520-0400,2026-06-09T12:45:20.732162+00:00,2026-06-09T05:45:20.387752-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,53.0,36.0,0.0,6.116666666666666,52.0,96.0,29.22,0.029999999999997584,,57.8,2.799999999999997,S-SW,Precip
20260609T085553-0400,2026-06-09T12:55:53.298749+00:00,2026-06-09T05:55:52.883467-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,53.0,36.0,0.0,6.116666666666666,52.0,97.0,29.22,0.029999999999997584,,57.8,2.799999999999997,S-SW,Precip
20260609T090615-0400,2026-06-09T13:06:15.048825+00:00,2026-06-09T06:06:14.505933-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,52.0,35.0,0.0,6.116666666666666,51.0,96.0,29.22,0.029999999999997584,,57.8,2.799999999999997,S-SW,Precip
20260609T091630-0400,2026-06-09T13:16:30.767440+00:00,2026-06-09T06:16:30.402949-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,52.0,0.0,-2.0,6.116666666666666,51.0,96.0,29.22,0.029999999999997584,,58.1,3.1000000000000014,S-SW,Precip
20260609T092643-0400,2026-06-09T13:26:43.561935+00:00,2026-06-09T06:26:43.207826-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,52.0,0.0,-2.0,6.116666666666666,51.0,97.0,29.22,0.029999999999997584,,58.1,3.1000000000000014,S-SW,Precip
20260609T093656-0400,2026-06-09T13:36:56.246492+00:00,2026-06-09T06:36:55.892130-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,51.0,0.0,-3.0,6.116666666666666,50.0,97.0,29.3,0.10999999999999943,,58.1,3.1000000000000014,S-SW,Precip
20260609T094714-0400,2026-06-09T13:47:14.692941+00:00,2026-06-09T06:47:14.338294-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,51.0,0.0,-3.0,6.116666666666666,50.0,97.0,29.3,0.10999999999999943,,58.1,3.1000000000000014,S-SW,Precip
20260609T095736-0400,2026-06-09T13:57:36.646562+00:00,2026-06-09T06:57:36.245981-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,51.0,0.0,-3.0,6.116666666666666,50.0,97.0,29.3,0.10999999999999943,,58.1,3.1000000000000014,S-SW,Precip
20260609T100750-0400,2026-06-09T14:07:50.105229+00:00,2026-06-09T07:07:49.745057-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,53.0,0.0,-1.0,6.116666666666666,50.0,90.0,29.3,0.10999999999999943,,58.1,3.1000000000000014,S-SW,Precip
20260609T101806-0400,2026-06-09T14:18:06.104429+00:00,2026-06-09T07:18:05.706688-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,53.0,0.0,-1.0,6.116666666666666,50.0,90.0,29.3,0.10999999999999943,,58.1,3.1000000000000014,S-SW,Mostly cloudy/overcast
20260609T102819-0400,2026-06-09T14:28:19.230413+00:00,2026-06-09T07:28:18.887902-07:00,highest-temperature-in-seattle-on-june-9-2026,2026-06-09,v0.5.0 HGBC feature-based ML model,toronto_feature_store_v0.2,7,55.0,53.0,0.0,-1.0,6.116666666666666,50.0,90.0,29.35,0.16000000000000014,,57.8,2.799999999999997,S-SW,Mostly cloudy/overcast
