snapshot_id,captured_at_utc,captured_at_local,event_slug,model_version,component_schema_version,cutoff_hour,active_model_kind,component_name,range_label,bin_kind,bin_value_c,component_probability,market_yes
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,79°F or below,lte,79,0.488307823129252,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,80-81°F,eq,80,0.018896447467876054,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,82-83°F,eq,82,0.056689342403628155,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,84-85°F,eq,84,0.028344671201814078,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,86-87°F,eq,86,0.018896447467876054,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,88-89°F,eq,88,0.04724111866969013,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,90-91°F,eq,90,0.028344671201814078,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,92-93°F,eq,92,0.028344671201814078,0.98
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,94-95°F,eq,94,0.009448223733938027,0.0285
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,96-97°F,eq,96,0.018896447467876054,0.0035
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,climatology_prior,98°F or higher,gte,98,0.009944255479969773,0.0015
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,current_observed_floor,79°F or below,lte,79,4.035041380555809e-09,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,current_observed_floor,80-81°F,eq,80,2.87511476908193e-10,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,current_observed_floor,82-83°F,eq,82,9.7100795718748e-10,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,current_observed_floor,84-85°F,eq,84,3.2468031269199943e-09,0.0005
20260606T200455-0400,2026-06-07T00:04:55.021425+00:00,2026-06-06T20:04:55.021425-04:00,highest-temperature-in-denver-on-june-6-2026,v0.5.0 HGBC feature-based ML model,toronto_distribution_components_v0.1,16,hgb,current_observed_floor,86-87°F,eq,86,2.8545601960493173e-09,0.0005
